# y+ ()       
# Time        	patch         	min           	max           	average       
0             	airfoil-l1	1.758669e+02	2.108341e+02	1.993973e+02
0             	wall-l1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-l2	1.733623e+02	1.738388e+02	1.735365e+02
0             	wall-l2	0.000000e+00	0.000000e+00	0.000000e+00
0             	wall-h2	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h2	1.733597e+02	1.738389e+02	1.735377e+02
0             	wall-h1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h1	1.758884e+02	2.108366e+02	1.994112e+02
25            	airfoil-l1	1.208288e+02	3.416190e+02	2.105060e+02
25            	wall-l1	3.768802e+01	8.556915e+01	5.695465e+01
25            	airfoil-l2	8.000831e+01	1.455844e+02	1.297492e+02
25            	wall-l2	3.610823e+01	3.771755e+01	3.733641e+01
25            	wall-h2	3.606630e+01	3.772125e+01	3.733080e+01
25            	airfoil-h2	7.987156e+01	1.451114e+02	1.298267e+02
25            	wall-h1	3.769265e+01	8.553389e+01	5.695398e+01
25            	airfoil-h1	1.198144e+02	3.446491e+02	2.101636e+02
50            	airfoil-l1	1.236278e+02	3.427717e+02	2.108618e+02
50            	wall-l1	2.669617e+01	7.949622e+01	5.106484e+01
50            	airfoil-l2	7.666910e+01	1.349215e+02	1.181394e+02
50            	wall-l2	3.776813e+01	7.002309e+01	4.798689e+01
50            	wall-h2	3.770390e+01	7.002232e+01	4.798594e+01
50            	airfoil-h2	7.692066e+01	1.339567e+02	1.180800e+02
50            	wall-h1	2.672816e+01	7.946470e+01	5.103218e+01
50            	airfoil-h1	1.223983e+02	3.458480e+02	2.099954e+02
75            	airfoil-l1	1.250502e+02	3.442169e+02	2.149573e+02
75            	wall-l1	1.405476e+01	4.283592e+01	2.462109e+01
75            	airfoil-l2	6.786559e+01	1.321946e+02	1.115487e+02
75            	wall-l2	4.354936e+01	7.197824e+01	6.241503e+01
75            	wall-h2	4.346550e+01	7.180656e+01	6.228907e+01
75            	airfoil-h2	6.784922e+01	1.306354e+02	1.112484e+02
75            	wall-h1	1.422698e+01	4.274912e+01	2.477826e+01
75            	airfoil-h1	1.235283e+02	3.472189e+02	2.139766e+02
100           	airfoil-l1	1.298724e+02	3.445840e+02	2.169515e+02
100           	wall-l1	1.555830e+01	3.541311e+01	3.014604e+01
100           	airfoil-l2	5.939103e+01	1.376167e+02	1.099516e+02
100           	wall-l2	1.378147e+01	4.552628e+01	2.686262e+01
100           	wall-h2	1.362789e+01	4.504137e+01	2.651781e+01
100           	airfoil-h2	5.929213e+01	1.361223e+02	1.094884e+02
100           	wall-h1	1.577825e+01	3.583046e+01	3.054459e+01
100           	airfoil-h1	1.284189e+02	3.477062e+02	2.159983e+02
125           	airfoil-l1	1.375792e+02	3.446554e+02	2.183916e+02
125           	wall-l1	2.167574e+01	3.569583e+01	3.085805e+01
125           	airfoil-l2	5.935327e+01	1.450518e+02	1.144230e+02
125           	wall-l2	1.547417e+01	3.393305e+01	2.427089e+01
125           	wall-h2	1.490644e+01	3.436932e+01	2.436379e+01
125           	airfoil-h2	5.790604e+01	1.436613e+02	1.139728e+02
125           	wall-h1	2.202466e+01	3.612447e+01	3.128536e+01
125           	airfoil-h1	1.361842e+02	3.479579e+02	2.174950e+02
150           	airfoil-l1	1.375177e+02	3.446094e+02	2.184870e+02
150           	wall-l1	1.001725e+01	3.285543e+01	2.293896e+01
150           	airfoil-l2	6.033280e+01	1.451891e+02	1.186665e+02
150           	wall-l2	2.416877e+01	3.404157e+01	3.186891e+01
150           	wall-h2	2.529909e+01	3.451390e+01	3.247904e+01
150           	airfoil-h2	5.990063e+01	1.439056e+02	1.183303e+02
150           	wall-h1	1.084720e+01	3.330373e+01	2.343643e+01
150           	airfoil-h1	1.361938e+02	3.479924e+02	2.175879e+02
175           	airfoil-l1	1.376402e+02	3.446083e+02	2.185396e+02
175           	wall-l1	5.261056e+00	2.555765e+01	1.476986e+01
175           	airfoil-l2	6.765149e+01	1.453558e+02	1.216940e+02
175           	wall-l2	2.573520e+01	3.114066e+01	2.930014e+01
175           	wall-h2	2.627040e+01	3.196476e+01	2.995476e+01
175           	airfoil-h2	6.723747e+01	1.441293e+02	1.214145e+02
175           	wall-h1	5.931860e+00	2.609458e+01	1.522047e+01
175           	airfoil-h1	1.363080e+02	3.480305e+02	2.176358e+02
200           	airfoil-l1	1.376987e+02	3.446214e+02	2.185783e+02
200           	wall-l1	1.095161e+01	1.801904e+01	1.406058e+01
200           	airfoil-l2	7.311871e+01	1.454661e+02	1.236544e+02
200           	wall-l2	1.819615e+01	2.709982e+01	2.292678e+01
200           	wall-h2	1.885880e+01	2.835636e+01	2.375195e+01
200           	airfoil-h2	7.284849e+01	1.442310e+02	1.234039e+02
200           	wall-h1	1.133319e+01	1.867128e+01	1.418699e+01
200           	airfoil-h1	1.363574e+02	3.480533e+02	2.176719e+02
225           	airfoil-l1	1.377343e+02	3.446310e+02	2.185996e+02
